date,symbol,marketcapname,sector
27-06-2025 1:30 pm,TIINDIA,Largecap,Metals
27-06-2025 1:30 pm,ULTRACEMCO,Largecap,Industrials
27-06-2025 2:15 pm,ADANIENT,Largecap,Services
27-06-2025 2:15 pm,GAIL,Largecap,Industrials
27-06-2025 2:30 pm,MFSL,Largecap,Finance
27-06-2025 2:30 pm,GRASIM,Largecap,Miscellaneous
27-06-2025 2:30 pm,CHOLAFIN,Largecap,Finance
27-06-2025 2:30 pm,UNOMINDA,Largecap,Auto
27-06-2025 2:45 pm,LAURUSLABS,Largecap,Pharmaceuticals
27-06-2025 2:45 pm,CESC,Largecap,Miscellaneous
27-06-2025 2:45 pm,MFSL,Largecap,Finance
27-06-2025 2:45 pm,PATANJALI,Largecap,FMCG
27-06-2025 2:45 pm,AARTIIND,Midcap,Industrials
27-06-2025 2:45 pm,ALKEM,Largecap,Pharmaceuticals
27-06-2025 3:00 pm,BAJFINANCE,Largecap,Finance
27-06-2025 3:00 pm,BEL,Largecap,Aerospace & Defence
27-06-2025 3:00 pm,CIPLA,Largecap,Pharmaceuticals
27-06-2025 3:00 pm,DABUR,Largecap,FMCG
27-06-2025 3:00 pm,SBIN,Largecap,Bank
27-06-2025 3:00 pm,HDFCBANK,Largecap,Bank
27-06-2025 3:00 pm,INFY,Largecap,I.T
27-06-2025 3:00 pm,JSWSTEEL,Largecap,Metals
27-06-2025 3:00 pm,TRENT,Largecap,FMCG
27-06-2025 3:00 pm,LUPIN,Largecap,Pharmaceuticals
27-06-2025 3:00 pm,VEDL,Largecap,Industrials
27-06-2025 3:00 pm,TATAELXSI,Largecap,I.T
27-06-2025 3:00 pm,TORNTPHARM,Largecap,Pharmaceuticals
27-06-2025 3:00 pm,BOSCHLTD,Largecap,Auto
27-06-2025 3:00 pm,VOLTAS,Largecap,FMCG
27-06-2025 3:00 pm,HINDUNILVR,Largecap,FMCG
27-06-2025 3:00 pm,NESTLEIND,Largecap,FMCG
27-06-2025 3:00 pm,ASIANPAINT,Largecap,Industrials
27-06-2025 3:00 pm,APOLLOHOSP,Largecap,Pharmaceuticals
27-06-2025 3:00 pm,UPL,Largecap,Industrials
27-06-2025 3:00 pm,MOTHERSON,Largecap,Auto
27-06-2025 3:00 pm,AUBANK,Largecap,Bank
27-06-2025 3:00 pm,SUNPHARMA,Largecap,Pharmaceuticals
27-06-2025 3:00 pm,BDL,Largecap,Aerospace & Defence
27-06-2025 3:00 pm,HAL,Largecap,Aerospace & Defence
27-06-2025 3:00 pm,360ONE,Largecap,Finance
27-06-2025 3:00 pm,SBICARD,Largecap,Finance
27-06-2025 3:00 pm,ICICIBANK,Largecap,Bank
27-06-2025 3:00 pm,MAZDOCK,Largecap,Aerospace & Defence
27-06-2025 3:00 pm,HCLTECH,Largecap,I.T
27-06-2025 3:00 pm,GODREJCP,Largecap,FMCG
27-06-2025 3:00 pm,BIOCON,Largecap,Pharmaceuticals
27-06-2025 3:00 pm,ULTRACEMCO,Largecap,Industrials
27-06-2025 3:00 pm,TECHM,Largecap,I.T
27-06-2025 3:00 pm,PAGEIND,Largecap,FMCG
27-06-2025 3:00 pm,OIL,Largecap,Oils
27-06-2025 3:00 pm,COALINDIA,Largecap,Industrials
27-06-2025 3:00 pm,PGEL,Largecap,FMCG
27-06-2025 3:00 pm,NBCC,Largecap,Realty
27-06-2025 3:00 pm,LODHA,Largecap,Realty
27-06-2025 3:00 pm,NYKAA,Largecap,I.T
27-06-2025 3:00 pm,PAYTM,Largecap,I.T
27-06-2025 3:00 pm,VBL,Largecap,FMCG
27-06-2025 3:15 pm,ABB,Largecap,FMCG
27-06-2025 3:15 pm,LAURUSLABS,Largecap,Pharmaceuticals
27-06-2025 3:15 pm,BEL,Largecap,Aerospace & Defence
27-06-2025 3:15 pm,CIPLA,Largecap,Pharmaceuticals
27-06-2025 3:15 pm,INFY,Largecap,I.T
27-06-2025 3:15 pm,TRENT,Largecap,FMCG
27-06-2025 3:15 pm,LUPIN,Largecap,Pharmaceuticals
27-06-2025 3:15 pm,VEDL,Largecap,Industrials
27-06-2025 3:15 pm,ONGC,Largecap,Oils
27-06-2025 3:15 pm,TATAPOWER,Largecap,Miscellaneous
27-06-2025 3:15 pm,TORNTPHARM,Largecap,Pharmaceuticals
27-06-2025 3:15 pm,FEDERALBNK,Largecap,Bank
27-06-2025 3:15 pm,M&M,Largecap,Auto
27-06-2025 3:15 pm,SIEMENS,Largecap,FMCG
27-06-2025 3:15 pm,TATAMOTORS,Largecap,Auto
27-06-2025 3:15 pm,VOLTAS,Largecap,FMCG
27-06-2025 3:15 pm,HINDUNILVR,Largecap,FMCG
27-06-2025 3:15 pm,ASIANPAINT,Largecap,Industrials
27-06-2025 3:15 pm,COLPAL,Largecap,FMCG
27-06-2025 3:15 pm,INDHOTEL,Largecap,Services
27-06-2025 3:15 pm,PHOENIXLTD,Largecap,Realty
27-06-2025 3:15 pm,WIPRO,Largecap,I.T
27-06-2025 3:15 pm,APOLLOHOSP,Largecap,Pharmaceuticals
27-06-2025 3:15 pm,UPL,Largecap,Industrials
27-06-2025 3:15 pm,LICI,Largecap,Services
27-06-2025 3:15 pm,MOTHERSON,Largecap,Auto
27-06-2025 3:15 pm,AUBANK,Largecap,Bank
27-06-2025 3:15 pm,SUNPHARMA,Largecap,Pharmaceuticals
27-06-2025 3:15 pm,BDL,Largecap,Aerospace & Defence
27-06-2025 3:15 pm,360ONE,Largecap,Finance
27-06-2025 3:15 pm,BANKBARODA,Largecap,Bank
27-06-2025 3:15 pm,MAZDOCK,Largecap,Aerospace & Defence
27-06-2025 3:15 pm,HCLTECH,Largecap,I.T
27-06-2025 3:15 pm,GLENMARK,Largecap,Pharmaceuticals
27-06-2025 3:15 pm,ZYDUSLIFE,Largecap,Pharmaceuticals
27-06-2025 3:15 pm,GODREJCP,Largecap,FMCG
27-06-2025 3:15 pm,OFSS,Largecap,I.T
27-06-2025 3:15 pm,CANBK,Largecap,Bank
27-06-2025 3:15 pm,PETRONET,Largecap,Industrials
27-06-2025 3:15 pm,ULTRACEMCO,Largecap,Industrials
27-06-2025 3:15 pm,UNOMINDA,Largecap,Auto
27-06-2025 3:15 pm,TCS,Largecap,I.T
27-06-2025 3:15 pm,IIFL,Largecap,Finance
27-06-2025 3:15 pm,TECHM,Largecap,I.T
27-06-2025 3:15 pm,NAUKRI,Midcap,I.T
27-06-2025 3:15 pm,TORNTPOWER,Largecap,Miscellaneous
27-06-2025 3:15 pm,POWERGRID,Largecap,Miscellaneous
27-06-2025 3:15 pm,NHPC,Largecap,Miscellaneous
27-06-2025 3:15 pm,OIL,Largecap,Oils
27-06-2025 3:15 pm,PERSISTENT,Largecap,I.T
27-06-2025 3:15 pm,SJVN,Largecap,Miscellaneous
27-06-2025 3:15 pm,COALINDIA,Largecap,Industrials
27-06-2025 3:15 pm,KALYANKJIL,Largecap,Miscellaneous
27-06-2025 3:15 pm,LODHA,Largecap,Realty
27-06-2025 3:15 pm,ETERNAL,Largecap,I.T
27-06-2025 3:15 pm,POLICYBZR,Largecap,I.T
27-06-2025 3:15 pm,PAYTM,Largecap,I.T
27-06-2025 3:15 pm,INOXWIND,Largecap,FMCG
27-06-2025 3:15 pm,SYNGENE,Largecap,Pharmaceuticals
27-06-2025 3:15 pm,VBL,Largecap,FMCG
30-06-2025 9:15 am,LAURUSLABS,Largecap,Pharmaceuticals
30-06-2025 9:15 am,SBIN,Largecap,Bank
30-06-2025 9:15 am,HFCL,Midcap,Telecom
30-06-2025 9:15 am,TATACHEM,Largecap,Industrials
30-06-2025 9:15 am,LICI,Largecap,Services
30-06-2025 9:15 am,KAYNES,Largecap,FMCG
30-06-2025 9:15 am,POONAWALLA,Largecap,Finance
30-06-2025 9:15 am,AARTIIND,Midcap,Industrials
30-06-2025 9:15 am,DMART,Largecap,FMCG
30-06-2025 9:15 am,AUROPHARMA,Largecap,Pharmaceuticals
30-06-2025 9:15 am,IREDA,Largecap,Finance
30-06-2025 9:15 am,AMBER,Largecap,FMCG
30-06-2025 9:15 am,BANDHANBNK,Largecap,Bank
30-06-2025 9:15 am,RVNL,Largecap,Realty
30-06-2025 9:15 am,BANKBARODA,Largecap,Bank
30-06-2025 9:15 am,PNB,Largecap,Bank
30-06-2025 9:15 am,CANBK,Largecap,Bank
30-06-2025 9:15 am,YESBANK,Largecap,Bank
30-06-2025 9:15 am,RECLTD,Largecap,Finance
30-06-2025 9:15 am,IRFC,Largecap,Finance
30-06-2025 9:15 am,ABFRL,Midcap,FMCG
30-06-2025 9:15 am,RBLBANK,Midcap,Bank
30-06-2025 9:30 am,LICI,Largecap,Services
